일자,요일,팀,상대팀,경기장,이동거리,상대팀 이동거리,승패여부
04-02,일요일,LG,KT,0,0,0,1
04-04,화요일,LG,키움,0,28,0,1
04-07,금요일,LG,삼성,1,25,295,1
04-11,화요일,LG,롯데,0,386,0,0
04-14,금요일,LG,두산,1,386,0,1
04-18,화요일,LG,NC,1,0,46,0
04-21,금요일,LG,한화,0,170,0,1
04-25,화요일,LG,SSG,1,170,46,1
04-28,금요일,LG,KIA,1,0,291,0
05-02,화요일,LG,NC,0,348,215,1
05-05,금요일,LG,두산,0,348,0,
05-09,화요일,LG,키움,1,0,25,1
05-12,금요일,LG,삼성,0,295,161,0
05-16,화요일,LG,KT,1,295,31,0
05-19,금요일,LG,한화,1,0,170,1
05-23,화요일,LG,SSG,0,46,407,1
05-26,금요일,LG,KIA,0,316,175,1
05-30,화요일,LG,롯데,1,291,25,1
06-02,금요일,LG,NC,1,0,348,0
06-06,화요일,LG,키움,0,25,28,1
06-09,금요일,LG,한화,0,169,170,0
06-13,화요일,LG,삼성,1,170,295,1
06-16,금요일,LG,두산,1,0,348,1
06-20,화요일,LG,NC,0,348,207,0
06-23,금요일,LG,롯데,1,348,31,0
06-27,화요일,LG,SSG,0,46,0,1
06-30,금요일,LG,KIA,1,46,291,1
07-04,화요일,LG,KT,1,0,31,
07-07,금요일,LG,롯데,0,386,253,
07-11,화요일,LG,한화,1,386,170,
07-21,금요일,LG,SSG,1,0,46,0
07-25,화요일,LG,KT,0,31,277,0
07-28,금요일,LG,두산,0,31,0,1
08-01,화요일,LG,키움,1,0,25,1
08-04,금요일,LG,삼성,0,295,0,0
08-08,화요일,LG,KIA,0,223,0,
08-11,금요일,LG,키움,1,291,25,1
08-15,화요일,LG,삼성,0,295,313,0
08-18,금요일,LG,SSG,0,313,407,1
08-22,화요일,LG,롯데,1,46,25,
08-25,금요일,LG,NC,0,348,369,0
08-29,화요일,LG,두산,1,348,0,
09-01,금요일,LG,한화,1,0,170,1
09-05,화요일,LG,KT,0,31,28,1
09-08,금요일,LG,KIA,0,272,291,1
09-14,목요일,LG,NC,0,207,0,
09-15,금요일,LG,한화,0,215,170,1
09-16,토요일,LG,SSG,1,170,0,1
09-19,화요일,LG,KIA,0,291,0,1
09-20,수요일,LG,KT,0,272,0,
09-21,목요일,LG,SSG,0,43,313,1
09-22,금요일,LG,NC,1,46,25,0
09-23,토요일,LG,한화,1,0,170,1
09-26,화요일,LG,KT,1,0,291,
09-28,목요일,LG,삼성,1,0,170,0
09-29,금요일,LG,두산,0,0,46,0
10-02,월요일,LG,KT,0,31,0,1
10-04,수요일,LG,롯데,0,368,0,1
10-06,금요일,LG,KIA,1,386,31,0
10-07,토요일,LG,키움,0,25,25,0
10-09,월요일,LG,롯데,1,25,0,0
10-13,금요일,LG,NC,0,348,348,0
10-14,토요일,LG,두산,1,348,0,0
