일자,요일,팀,상대팀,경기장,이동거리,상대팀 이동거리,승패여부
04-02,일요일,NC,삼성,0,0,0,0
04-04,화요일,NC,두산,0,295,0,0
04-07,금요일,NC,키움,1,348,364,1
04-11,화요일,NC,KT,1,0,57,1
04-14,금요일,NC,SSG,0,369,313,0
04-18,화요일,NC,LG,0,46,0,1
04-21,금요일,NC,롯데,1,348,57,0
04-25,화요일,NC,KIA,0,207,0,1
04-28,금요일,NC,한화,0,175,253,1
05-02,화요일,NC,LG,1,215,348,0
05-05,금요일,NC,KIA,1,0,207,
05-09,화요일,NC,KT,0,330,144,1
05-12,금요일,NC,키움,0,28,25,0
05-16,화요일,NC,SSG,1,364,369,1
05-19,금요일,NC,삼성,1,0,88,0
05-23,화요일,NC,롯데,0,57,0,0
05-26,금요일,NC,한화,1,57,215,1
05-30,화요일,NC,두산,1,0,348,1
06-02,금요일,NC,LG,0,348,0,1
06-06,화요일,NC,삼성,0,295,161,0
06-09,금요일,NC,SSG,1,88,207,1
06-13,화요일,NC,두산,1,0,348,0
06-16,금요일,NC,KIA,0,207,312,0
06-20,화요일,NC,LG,1,207,348,1
06-23,금요일,NC,한화,1,0,215,0
06-27,화요일,NC,두산,0,348,25,0
06-30,금요일,NC,KT,0,31,144,0
07-04,화요일,NC,키움,0,28,0,0
07-07,금요일,NC,삼성,1,364,88,
07-11,화요일,NC,롯데,1,0,57,
07-21,금요일,NC,한화,0,215,170,1
07-25,화요일,NC,KIA,1,215,207,1
07-28,금요일,NC,KT,1,0,330,0
08-01,화요일,NC,롯데,0,57,255,1
08-04,금요일,NC,키움,1,57,348,1
08-08,화요일,NC,SSG,0,369,407,1
08-11,금요일,NC,KT,0,43,0,1
08-15,화요일,NC,한화,1,330,215,0.5
08-18,금요일,NC,두산,0,348,0,
08-22,화요일,NC,SSG,0,46,0,
08-25,금요일,NC,LG,1,369,348,1
08-29,화요일,NC,KIA,0,207,0,
09-01,금요일,NC,삼성,0,223,277,1
09-05,화요일,NC,키움,1,88,364,1
09-08,금요일,NC,롯데,1,0,57,1
09-12,화요일,NC,롯데,0,57,57,1
09-15,금요일,NC,삼성,1,57,88,1
09-19,화요일,NC,두산,0,348,291,1
09-22,금요일,NC,LG,0,0,46,1
09-26,화요일,NC,KIA,1,348,207,0
09-30,토요일,NC,삼성,0,88,295,0
10-01,일요일,NC,한화,0,161,253,0
10-03,화요일,NC,SSG,0,184,0,0
10-07,토요일,NC,SSG,1,369,369,1
10-09,월요일,NC,한화,1,0,330,1
10-12,목요일,NC,두산,0,348,386,0
10-13,금요일,NC,LG,1,348,348,1
10-15,일요일,NC,삼성,1,0,88,1
10-16,월요일,NC,KIA,0,207,291,0
