일자,요일,팀,상대팀,경기장,이동거리,상대팀 이동거리,승패여부
04-02,일요일,한화,키움,0,0,0,0
04-04,화요일,한화,삼성,0,311,0,0
04-07,금요일,한화,SSG,1,161,184,0
04-11,화요일,한화,KIA,0,175,0,1
04-14,금요일,한화,KT,0,272,330,0.5
04-18,화요일,한화,두산,1,144,170,0
04-21,금요일,한화,LG,1,0,170,0
04-25,화요일,한화,롯데,0,253,57,
04-28,금요일,한화,NC,1,253,175,0
05-02,화요일,한화,두산,0,170,46,0
05-05,금요일,한화,KT,1,170,184,
05-09,화요일,한화,삼성,1,0,161,0
05-12,금요일,한화,SSG,0,184,316,1
05-16,화요일,한화,롯데,1,184,144,0
05-19,금요일,한화,LG,0,170,0,0
05-23,화요일,한화,KIA,1,170,175,1
05-26,금요일,한화,NC,0,215,57,0
05-30,화요일,한화,키움,1,215,169,1
06-02,금요일,한화,삼성,1,0,184,0
06-06,화요일,한화,두산,0,170,31,0
06-09,금요일,한화,LG,1,170,169,1
06-13,화요일,한화,롯데,0,253,97,0
06-16,금요일,한화,키움,1,253,169,0.5
06-20,화요일,한화,KIA,1,0,175,0
06-23,금요일,한화,NC,0,215,0,1
06-27,화요일,한화,KT,1,215,175,1
06-30,금요일,한화,삼성,0,161,97,1
07-04,화요일,한화,롯데,1,161,253,
07-07,금요일,한화,SSG,1,0,184,
07-11,화요일,한화,LG,0,170,386,
07-21,금요일,한화,NC,1,170,215,0
07-25,화요일,한화,키움,0,169,401,1
07-28,금요일,한화,SSG,0,28,313,1
08-01,화요일,한화,두산,1,184,170,0
08-04,금요일,한화,KIA,0,175,223,0
08-08,화요일,한화,KT,0,272,31,0
08-11,금요일,한화,두산,1,144,170,0
08-15,화요일,한화,NC,0,215,330,0.5
08-18,금요일,한화,KT,1,215,170,1
08-22,화요일,한화,삼성,1,0,161,0
08-25,금요일,한화,KIA,0,175,272,0
08-29,화요일,한화,롯데,1,175,253,
09-01,금요일,한화,LG,0,170,0,0
09-05,화요일,한화,SSG,1,170,184,0
09-08,금요일,한화,키움,0,169,364,1
09-12,화요일,한화,두산,0,25,0,0
09-15,금요일,한화,LG,1,170,215,0
09-16,토요일,한화,KT,1,0,161,
09-19,화요일,한화,SSG,1,0,170,0
09-20,수요일,한화,롯데,1,0,253,
09-21,목요일,한화,KIA,1,0,175,1
09-22,금요일,한화,키움,1,0,169,0
09-23,토요일,한화,LG,0,170,0,0
09-26,화요일,한화,삼성,1,170,161,
09-28,목요일,한화,롯데,0,253,407,0
10-01,일요일,한화,NC,1,253,161,1
10-04,수요일,한화,삼성,0,161,97,1
10-06,금요일,한화,SSG,0,313,0,0
10-07,토요일,한화,KT,0,43,0,0
10-09,월요일,한화,NC,0,330,0,0
10-14,토요일,한화,롯데,1,215,175,1
