,code,원정팀,홈팀,A,B,승리팀,승리팀구분,date,week,평균기온,일강수량,풍속,습도,경기장,지점명,year
0,20210403기두,기아,두산,,,우천취소,Away,20210403,토,14.9,56.2,3.1,80.8,서울 잠실 야구장,서울,2021
1,20210403롯S,롯데,SK,,,우천취소,Away,20210403,토,14.1,54.7,3.1,79.6,인천SSG 랜더스필드,인천,2021
2,20210403LN,LG,NC,,,우천취소,Away,20210403,토,15.4,38.7,1.0,84.8,창원NC파크,창원,2021
3,20210403한K,한화,KT,,,우천취소,Away,20210403,토,15.4,46.7,1.9,85.4,수원케이티위즈파크,수원,2021
4,20210403삼키,삼성,키움,1.0,6.0,키움,Home,20210403,토,14.9,56.2,3.1,80.8,서울고척스카이돔,서울,2021
5,20210404기두,기아,두산,1.0,4.0,두산,Home,20210404,일,11.9,0.6,3.2,65.8,서울 잠실 야구장,서울,2021
6,20210404롯S,롯데,SK,3.0,5.0,SK,Home,20210404,일,11.4,0.5,4.4,64.8,인천SSG 랜더스필드,인천,2021
7,20210404LN,LG,NC,2.0,1.0,LG,Away,20210404,일,11.3,14.0,2.6,77.0,창원NC파크,창원,2021
8,20210404한K,한화,KT,2.0,3.0,KT,Home,20210404,일,12.2,0.5,2.2,68.3,수원케이티위즈파크,수원,2021
9,20210404삼키,삼성,키움,4.0,7.0,키움,Home,20210404,일,11.9,0.6,3.2,65.8,서울고척스카이돔,서울,2021
10,20210406삼두,삼성,두산,3.0,6.0,두산,Home,20210406,화,13.9,0.0,2.5,50.9,서울 잠실 야구장,서울,2021
11,20210406한S,한화,SK,1.0,2.0,SK,Home,20210406,화,11.6,0.0,2.4,57.9,인천SSG 랜더스필드,인천,2021
12,20210406롯N,롯데,NC,10.0,5.0,롯데,Away,20210406,화,11.8,0.0,1.3,45.6,창원NC파크,창원,2021
13,20210406LK,LG,KT,3.0,2.0,LG,Away,20210406,화,12.1,0.0,2.1,61.0,수원케이티위즈파크,수원,2021
