Rank,Name,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,Season,Position
1,최형우,142,629,623,514,98,176,36,3,26,296,120,0,1,96,11,8,82,15,0,8,0.342,0.450,0.576,1.026,0.082,162.1,17,LF
2,김선빈,137,529,522,476,84,176,34,1,5,227,64,4,4,39,5,4,40,10,5,4,0.370,0.420,0.477,0.897,0.041,132.2,17,SS
3,안치홍,132,545,538,487,95,154,29,2,21,250,93,7,0,43,4,1,70,19,6,5,0.316,0.373,0.513,0.886,0.036,128.6,17,2B
4,버나디나,139,621,617,557,118,178,26,8,27,301,111,32,7,41,11,2,112,9,3,9,0.320,0.372,0.540,0.912,0.037,129.5,17,CF
5,이명기,115,512,498,464,79,154,24,4,9,213,63,8,7,28,3,0,57,2,14,3,0.332,0.371,0.459,0.830,0.016,113.5,17,RF
6,나지완,137,551,551,459,85,138,20,3,27,245,94,1,1,62,23,0,105,10,0,7,0.301,0.405,0.534,0.939,0.046,136.4,17,DH
7,김주찬,122,478,476,440,78,136,39,2,12,215,70,9,2,31,4,0,59,17,2,1,0.309,0.359,0.489,0.848,0.015,113.4,17,1B
8,김호령,98,105,102,90,31,24,6,1,1,35,11,3,2,9,2,0,23,0,3,1,0.267,0.343,0.389,0.732,0.001,103.1,17,CF
9,서동욱,125,366,358,319,49,90,21,1,7,134,48,1,1,33,3,0,86,5,8,3,0.282,0.352,0.420,0.772,-0.007,96.9,17,1B
10,이범호,115,447,444,382,57,104,14,0,25,193,89,0,0,52,7,3,81,9,0,6,0.272,0.365,0.505,0.870,0.020,117.2,17,3B
11,최원준,72,174,171,156,27,48,15,0,3,72,27,3,2,10,2,0,20,2,3,3,0.308,0.351,0.462,0.813,-0.004,99.5,17,SS
12,한승택,96,91,90,83,7,19,2,1,0,23,7,0,0,6,1,0,25,1,1,0,0.229,0.289,0.277,0.566,-0.074,48.2,17,C
13,노수광,5,19,19,15,1,3,0,0,0,3,0,1,0,3,1,1,3,0,0,0,0.200,0.368,0.200,0.568,-0.011,93.7,17,RF
14,노관현,9,6,6,6,0,3,0,0,0,3,1,0,0,0,0,0,2,0,0,0,0.500,0.500,0.500,1.000,0.083,163.4,17,SS
15,오준혁,14,13,13,12,1,3,0,0,0,3,1,0,0,1,0,0,3,0,0,0,0.250,0.308,0.250,0.558,-0.097,30.7,17,LF
16,이호신,12,8,8,7,3,1,0,0,0,1,0,0,1,1,0,0,3,1,0,0,0.143,0.250,0.143,0.393,-0.151,-9.3,17,RF
17,최정민,8,9,9,9,1,3,1,0,0,4,1,0,0,0,0,0,4,0,0,0,0.333,0.333,0.444,0.777,-0.025,83.9,17,2B
18,이정훈,4,3,3,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.000,0.333,0.000,0.333,-0.090,35.9,17,C
19,이진영,18,8,8,5,3,2,0,0,0,2,0,0,1,1,2,0,1,0,0,0,0.400,0.625,0.400,1.025,0.138,204.4,17,RF
20,심동섭,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,17,P
20,임창용,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,17,P
20,고효준,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,17,P
20,손영민,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,17,P
20,김세현,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,17,P
20,최영필,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,17,P
20,임기영,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,17,P
20,박경태,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,17,P
20,홍건희,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,17,P
20,임기준,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,17,P
20,김윤동,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,17,P
20,김진우,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,17,P
20,양현종,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,17,P
20,김광수,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,17,P
20,한승혁,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,17,P
35,박진태,7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,-0.334,-144.8,17,P
36,홍재호,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,17,2B
37,이인행,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,-0.346,-154.2,17,1B
38,김지성,37,49,49,47,6,11,3,0,2,20,4,1,0,1,1,0,14,1,0,0,0.234,0.265,0.426,0.691,-0.041,71.6,17,SS
39,신종길,64,90,90,83,13,20,5,1,1,30,10,2,1,3,2,0,13,1,0,2,0.241,0.278,0.361,0.639,-0.071,49.4,17,RF
40,유재신,9,5,4,3,4,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0.333,0.500,0.333,0.833,0.053,141.8,17,CF
41,이홍구,3,10,9,8,0,2,0,0,0,2,0,0,0,1,0,0,3,0,1,0,0.250,0.333,0.250,0.583,-0.075,52.2,17,C
42,최병연,3,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,-0.344,-152.6,17,SS
43,고장혁,67,40,39,38,13,9,3,0,0,12,3,0,1,0,0,0,9,1,1,1,0.237,0.231,0.316,0.547,-0.115,19.1,17,3B
44,백용환,15,20,20,17,2,3,0,0,0,3,1,0,0,3,0,0,3,2,0,0,0.176,0.300,0.176,0.476,-0.103,26.3,17,C
45,김민식,135,391,384,351,39,78,9,2,4,103,40,3,3,26,5,0,55,7,7,2,0.222,0.284,0.293,0.577,-0.081,43.6,17,C
46,김주형,57,116,116,106,11,18,5,0,0,23,10,0,0,8,1,0,13,5,0,1,0.170,0.233,0.217,0.450,-0.120,13.1,17,3B
1,안치홍,130,549,548,494,88,169,38,1,23,278,118,5,1,36,10,1,57,13,0,9,0.342,0.392,0.563,0.955,0.045,133.8,18,2B
2,최형우,143,609,604,528,92,179,34,1,25,290,103,3,0,66,7,7,87,17,0,8,0.339,0.414,0.549,0.963,0.053,138.9,18,LF
