Rank,Name,G,GS,GR,GF,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,rRA9pf,FIP,WHIP,Season,Position
1,헥터,30,30,0,1,20,5,0,0,201.2,78,83,83.00,854,221,36,4,21,45,5,1,149,8,0,7,3.48,3.70,3.70,3.71,4.35,1.32,17,P
2,양현종,31,31,0,1,20,6,0,0,193.1,74,88,85.25,808,209,32,2,17,45,0,0,158,15,0,14,3.44,4.10,3.97,4.07,3.93,1.31,17,P
3,팻딘,30,29,1,1,9,7,0,0,176.0,81,86,84.65,770,211,39,3,22,39,16,1,143,7,0,3,4.14,4.40,4.33,4.41,4.61,1.42,17,P
4,임기영,23,19,4,3,8,6,0,0,118.1,48,54,52.80,497,138,25,1,9,18,6,1,73,2,0,2,3.65,4.11,4.02,4.14,4.17,1.32,17,P
5,김윤동,65,1,64,28,7,4,11,6,80.1,41,41,44.45,356,70,8,1,10,47,5,3,66,2,1,7,4.59,4.59,4.98,4.91,5.56,1.46,17,P
6,임창용,51,0,51,23,8,6,7,9,50.0,21,22,25.10,225,51,7,1,3,22,5,2,58,2,0,2,3.78,3.96,4.52,4.50,3.57,1.46,17,P
7,고효준,40,1,39,4,3,1,0,4,40.0,19,19,18.25,186,44,7,1,1,22,5,0,35,3,1,2,4.27,4.27,4.11,3.98,4.41,1.65,17,P
8,임기준,15,4,11,3,0,1,1,2,22.0,8,9,8.70,104,25,3,0,1,15,0,0,12,2,2,0,3.27,3.68,3.56,3.85,5.50,1.82,17,P
9,이민우,4,2,2,1,1,1,0,0,12.2,4,4,4.00,53,14,2,0,2,0,1,0,9,1,0,0,2.84,2.84,2.84,2.73,4.55,1.11,17,P
10,심동섭,52,2,50,6,2,2,2,11,50.2,32,34,30.50,233,64,13,1,6,21,0,4,50,2,0,1,5.68,6.04,5.42,5.61,4.19,1.68,17,P
11,정용운,25,11,14,5,3,2,0,0,59.1,39,41,39.65,271,56,8,0,7,37,7,0,32,6,0,2,5.92,6.22,6.01,6.14,6.56,1.57,17,P
12,김세현,21,0,21,17,0,2,8,0,21.0,8,9,11.55,92,23,4,0,2,4,1,2,21,2,0,1,3.43,3.86,4.95,5.01,3.43,1.29,17,P
13,김명찬,6,0,6,0,0,0,0,1,5.0,2,2,1.65,22,5,0,0,0,2,0,0,2,0,0,0,3.60,3.60,2.97,3.06,4.45,1.40,17,P
