Rank,Name,WAR,BT,SB,BR,Def,Rep-Wins,Pos-Wins,GS,GR,GS,GR,GS,GR,Season,Position
1,헥터,7.32,0.00,0.00,0.00,0.00,0.00,0.00,4.02,,3.50,,7.32,,17,P
2,양현종,6.15,0.00,0.00,0.00,0.00,0.00,0.00,2.98,0.00,3.30,0.00,6.15,0.00,17,P
3,최형우,5.82,4.67,0.03,0.00,-0.65,0.23,-0.70,0.00,0.00,0.00,0.00,0.00,0.00,17,LF
4,김선빈,5.22,2.05,-0.06,0.04,0.04,0.20,0.96,0.00,0.00,0.00,0.00,0.00,0.00,17,SS
5,팻딘,4.94,0.00,0.00,0.00,0.00,0.00,0.00,2.09,-0.02,2.95,0.00,4.96,-0.02,17,P
6,안치홍,4.17,1.86,0.15,0.10,-0.48,0.20,0.50,0.00,0.00,0.00,0.00,0.00,0.00,17,2B
7,버나디나,4.17,2.20,0.19,0.10,-1.05,0.23,-0.07,0.00,0.00,0.00,0.00,0.00,0.00,17,CF
8,임기영,3.68,0.00,0.00,0.00,0.00,0.00,0.00,1.80,-0.02,1.92,0.04,3.66,0.03,17,P
9,이명기,3.59,0.83,-0.14,0.06,0.75,0.19,-0.41,0.00,0.00,0.00,0.00,0.00,0.00,17,RF
10,나지완,3.44,2.40,0.03,-0.03,-0.37,0.21,-1.02,0.00,0.00,0.00,0.00,0.00,0.00,17,DH
11,김주찬,2.41,0.77,0.13,0.05,0.45,0.18,-0.63,0.00,0.00,0.00,0.00,0.00,0.00,17,1B
12,김윤동,1.45,0.00,0.00,0.00,0.00,0.00,0.00,-0.14,0.92,0.05,0.62,-0.10,1.55,17,P
13,김호령,1.42,0.04,-0.03,0.11,0.71,0.04,0.03,0.00,0.00,0.00,0.00,0.00,0.00,17,CF
14,서동욱,1.10,-0.13,0.01,-0.09,-0.17,0.14,-0.26,0.00,0.00,0.00,0.00,0.00,0.00,17,1B
15,임창용,1.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.00,0.41,0.00,1.04,17,P
16,고효준,0.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.08,0.30,0.08,0.85,17,P
17,이범호,0.92,0.92,0.03,-0.06,-1.97,0.17,0.03,0.00,0.00,0.00,0.00,0.00,0.00,17,3B
18,임기준,0.78,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.23,0.27,0.05,0.50,0.28,17,P
19,최원준,0.56,-0.01,-0.02,-0.02,-0.28,0.06,0.04,0.00,0.00,0.00,0.00,0.00,0.00,17,SS
20,한승택,0.53,-0.58,0.01,-0.05,0.54,0.03,0.20,0.00,0.00,0.00,0.00,0.00,0.00,17,C
21,이민우,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.06,0.20,0.01,0.45,0.07,17,P
22,심동섭,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.16,-0.11,0.11,0.34,0.27,0.24,17,P
23,정용운,0.33,0.00,0.00,0.00,0.00,0.00,0.00,-0.97,0.48,0.64,0.13,-0.28,0.62,17,P
24,김세현,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.17,0.00,0.32,17,P
25,노수광,0.22,-0.01,0.02,0.01,0.12,0.01,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,17,RF
26,김명찬,0.17,0.00,0.00,0.00,0.00,0.00,0.00,,0.13,,0.04,,0.17,17,P
27,노관현,0.13,0.05,0.00,0.00,0.03,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,17,SS
28,오준혁,0.10,-0.11,0.00,0.02,0.10,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,17,LF
29,이호신,0.05,-0.11,-0.05,0.05,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17,RF
30,최정민,0.02,-0.01,0.00,0.01,-0.03,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,17,2B
31,이정훈,0.01,-0.02,0.00,-0.01,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,17,C
32,이진영,0.00,0.10,0.00,-0.08,-0.06,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,17,RF
33,홍재호,-0.01,0.00,0.00,0.00,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17,2B
34,이인행,-0.01,-0.07,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17,1B
35,김종훈,-0.03,0.00,0.00,0.00,0.00,0.00,0.00,,-0.04,,0.00,,-0.03,17,P
36,최영필,-0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,0.00,-0.04,17,P
37,정동현,-0.05,0.00,0.00,0.00,0.00,0.00,0.00,-0.09,,0.02,,-0.05,,17,P
38,박경태,-0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.09,0.00,0.02,0.00,-0.06,17,P
39,홍건희,-0.06,0.00,0.00,0.00,0.00,0.00,0.00,-0.30,-0.28,0.09,0.36,-0.19,0.14,17,P
40,김지성,-0.11,-0.17,0.02,-0.02,-0.24,0.02,0.08,0.00,0.00,0.00,0.00,0.00,0.00,17,SS
41,신종길,-0.12,-0.54,-0.02,0.05,-0.15,0.03,0.09,0.00,0.00,0.00,0.00,0.00,0.00,17,RF
42,유재신,-0.12,0.02,0.01,-0.02,-0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17,CF
43,남재현,-0.12,0.00,0.00,0.00,0.00,0.00,0.00,,-0.18,,0.03,,-0.12,17,P
44,박진태,-0.13,-0.02,0.00,0.00,0.00,0.00,0.00,-0.12,-0.54,0.12,0.33,0.03,-0.15,17,P
45,이홍구,-0.14,-0.06,0.00,0.00,-0.17,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,17,C
46,박지훈,-0.17,0.00,0.00,0.00,0.00,0.00,0.00,,-0.28,,0.09,,-0.17,17,P
47,김진우,-0.19,0.00,0.00,0.00,0.00,0.00,0.00,-0.33,-0.41,0.43,0.03,0.18,-0.37,17,P
48,최병연,-0.19,-0.06,0.00,0.00,-0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17,SS
49,고장혁,-0.19,-0.41,-0.04,0.02,0.05,0.01,0.04,0.00,0.00,0.00,0.00,0.00,0.00,17,3B
50,백용환,-0.20,-0.19,0.00,-0.07,-0.02,0.01,0.06,0.00,0.00,0.00,0.00,0.00,0.00,17,C
1,양현종,5.84,0.00,0.00,0.00,0.00,0.00,0.00,2.82,,3.09,,5.84,,18,P
2,안치홍,5.01,2.37,0.08,0.05,-0.21,0.21,0.23,0.00,0.00,0.00,0.00,0.00,0.00,18,2B
3,최형우,4.10,3.00,0.11,-0.01,-0.88,0.23,-0.69,0.00,0.00,0.00,0.00,0.00,0.00,18,LF
4,헥터,3.56,-0.03,0.00,0.00,0.00,0.00,0.00,0.73,0.00,2.78,0.00,3.58,0.00,18,P
5,이명기,2.83,-0.47,-0.01,0.05,1.27,0.19,-0.43,0.00,0.00,0.00,0.00,0.00,0.00,18,RF
6,나지완,2.65,1.46,0.03,0.03,0.25,0.14,-0.56,0.00,0.00,0.00,0.00,0.00,0.00,18,DH
7,버나디나,2.48,1.51,-0.15,0.04,-1.56,0.22,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,18,CF
8,김민식,1.97,-0.91,0.01,0.01,0.56,0.14,0.78,0.00,0.00,0.00,0.00,0.00,0.00,18,C
9,김윤동,1.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.28,0.00,0.68,0.00,1.95,18,P
10,김주찬,1.85,1.13,0.14,-0.02,-0.47,0.18,-0.74,0.00,0.00,0.00,0.00,0.00,0.00,18,1B
11,김선빈,1.85,-0.40,0.07,0.07,-0.84,0.19,0.88,0.00,0.00,0.00,0.00,0.00,0.00,18,SS
12,이범호,1.56,0.53,0.04,-0.02,-0.35,0.14,-0.01,0.00,0.00,0.00,0.00,0.00,0.00,18,3B
