날짜,원정,홈,구장,비고
04.01(토),롯데10,12두산,잠실,-
04.01(토),KIA1,4SSG,문학,-
04.01(토),NC8,0삼성,대구,-
04.01(토),LG6,11KT,수원,-
04.01(토),한화2,3키움,고척,-
04.02(일),롯데2,0두산,잠실,-
04.02(일),KIA9,5SSG,문학,-
04.02(일),NC6,8삼성,대구,-
04.02(일),LG10,9KT,수원,-
04.02(일),한화6,7키움,고척,-
04.04(화),NC0,1두산,잠실,-
04.04(화),롯데1,3SSG,문학,-
04.04(화),한화6,7삼성,대구,-
04.04(화),KIA,KT,수원,우천취소
04.04(화),LG7,1키움,고척,-
04.05(수),NC9,3두산,잠실,-
04.05(수),롯데,SSG,문학,그라운드사정
04.05(수),한화,삼성,대구,우천취소
04.05(수),KIA,KT,수원,우천취소
04.05(수),LG1,2키움,고척,-
04.06(목),NC2,6두산,잠실,-
04.06(목),롯데,SSG,문학,우천취소
04.06(목),한화8,1삼성,대구,-
04.06(목),KIA,KT,수원,우천취소
04.06(목),LG5,0키움,고척,-
04.07(금),삼성2,7LG,잠실,-
04.07(금),KT7,1롯데,사직,-
04.07(금),키움0,2NC,창원,-
04.07(금),두산4,1KIA,광주,-
04.07(금),SSG7,3한화,대전,-
04.08(토),삼성1,2LG,잠실,-
04.08(토),KT7,3롯데,사직,-
04.08(토),키움5,11NC,창원,-
04.08(토),두산6,7KIA,광주,-
04.08(토),SSG7,5한화,대전,-
04.09(일),삼성2,3LG,잠실,-
04.09(일),KT3,5롯데,사직,-
04.09(일),키움1,6NC,창원,-
04.09(일),두산3,2KIA,광주,-
04.09(일),SSG3,0한화,대전,-
04.11(화),키움4,6두산,잠실,-
04.11(화),LG5,6롯데,사직,-
04.11(화),SSG5,4삼성,대구,-
04.11(화),KT0,1NC,창원,-
04.11(화),한화5,4KIA,광주,-
04.12(수),키움,두산,잠실,미세먼지취소
04.12(수),LG12,8롯데,사직,-
04.12(수),SSG3,0삼성,대구,-
04.12(수),KT1,5NC,창원,-
04.12(수),한화0,2KIA,광주,-
04.13(목),키움9,2두산,잠실,-
04.13(목),LG7,8롯데,사직,-
04.13(목),SSG9,11삼성,대구,-
04.13(목),KT10,3NC,창원,-
04.13(목),한화5,1KIA,광주,-
04.14(금),두산4,13LG,잠실,-
04.14(금),NC1,2SSG,문학,-
04.14(금),롯데7,9삼성,대구,-
04.14(금),한화7,7KT,수원,-
04.14(금),KIA2,9키움,고척,-
04.15(토),두산1,3LG,잠실,-
04.15(토),NC1,0SSG,문학,-
04.15(토),롯데9,5삼성,대구,-
04.15(토),한화7,2KT,수원,-
04.15(토),KIA1,6키움,고척,-
04.16(일),두산10,5LG,잠실,-
04.16(일),NC10,5SSG,문학,-
04.16(일),롯데1,9삼성,대구,-
04.16(일),한화2,14KT,수원,-
04.16(일),KIA0,2키움,고척,-
04.18(화),NC6,4LG,잠실,-
04.18(화),KIA5,7롯데,사직,-
04.18(화),SSG2,4KT,수원,-
04.18(화),삼성6,4키움,고척,-
04.18(화),두산2,0한화,대전,-
04.19(수),NC5,7LG,잠실,-
04.19(수),KIA6,0롯데,사직,-
04.19(수),SSG2,5KT,수원,-
04.19(수),삼성9,5키움,고척,-
04.19(수),두산6,7한화,대전,-
04.20(목),NC4,9LG,잠실,-
04.20(목),KIA3,5롯데,사직,-
04.20(목),SSG8,5KT,수원,-
04.20(목),삼성1,6키움,고척,-
04.20(목),두산5,1한화,대전,-
04.21(금),KT6,10두산,잠실,-
04.21(금),키움1,3SSG,문학,-
04.21(금),롯데3,2NC,창원,-
04.21(금),삼성4,5KIA,광주,-
04.21(금),LG4,2한화,대전,-
04.22(토),KT1,5두산,잠실,-
04.22(토),키움2,3SSG,문학,-
04.22(토),롯데10,6NC,창원,-
04.22(토),삼성2,6KIA,광주,-
04.22(토),LG3,0한화,대전,-
04.23(일),KT1,1두산,잠실,-
04.23(일),키움7,9SSG,문학,-
04.23(일),롯데5,3NC,창원,-
04.23(일),삼성3,5KIA,광주,-
04.23(일),LG6,7한화,대전,-
04.25(화),SSG4,5LG,잠실,-
04.25(화),한화,롯데,사직,우천취소
04.25(화),두산,삼성,대구,우천취소
04.25(화),NC6,0KIA,광주,-
04.25(화),KT0,1키움,고척,-
04.26(수),SSG5,3LG,잠실,-
04.26(수),한화1,8롯데,사직,-
04.26(수),두산0,1삼성,대구,-
04.26(수),NC0,6KIA,광주,-
04.26(수),KT2,13키움,고척,-
04.27(목),SSG3,6LG,잠실,-
04.27(목),한화0,3롯데,사직,-
04.27(목),두산6,7삼성,대구,-
04.27(목),NC0,5KIA,광주,-
04.27(목),KT1,3키움,고척,-
04.28(금),KIA4,3LG,잠실,-
04.28(금),두산1,4SSG,문학,-
04.28(금),키움2,5롯데,사직,-
04.28(금),삼성10,9KT,수원,-
04.28(금),NC6,4한화,대전,-
04.29(토),KIA6,3LG,잠실,-
04.29(토),두산4,10SSG,문학,-
04.29(토),키움,롯데,사직,우천취소
04.29(토),삼성3,2KT,수원,-
04.29(토),NC3,2한화,대전,-
04.30(일),KIA12,8LG,잠실,-
04.30(일),두산2,0SSG,문학,-
04.30(일),키움3,5롯데,사직,-
04.30(일),삼성1,0KT,수원,-
04.30(일),NC4,1한화,대전,-
05.02(화),한화0,3두산,잠실,-
05.02(화),KT11,4SSG,문학,-
05.02(화),키움4,0삼성,대구,-
05.02(화),LG5,3NC,창원,-
05.02(화),롯데7,4KIA,광주,-
05.03(수),한화8,3두산,잠실,-
05.03(수),KT3,5SSG,문학,-
05.03(수),키움4,1삼성,대구,-
05.03(수),LG2,1NC,창원,-
05.03(수),롯데2,10KIA,광주,-
05.04(목),한화10,3두산,잠실,-
05.04(목),KT2,10SSG,문학,-
05.04(목),키움1,14삼성,대구,-
05.04(목),LG,NC,창원,우천취소
05.04(목),롯데,KIA,광주,그라운드사정
05.05(금),LG,두산,잠실,그라운드사정
05.05(금),삼성,롯데,사직,우천취소
05.05(금),KIA,NC,창원,우천취소
05.05(금),SSG3,1키움,고척,-
05.05(금),KT,한화,대전,우천취소
05.06(토),LG,두산,잠실,우천취소
05.06(토),삼성,롯데,사직,우천취소
05.06(토),KIA,NC,창원,우천취소
05.06(토),SSG2,1키움,고척,-
05.06(토),KT,한화,대전,우천취소
05.07(일),LG11,1두산,잠실,-
05.07(일),삼성,롯데,사직,우천취소
05.07(일),KIA,NC,창원,우천취소
05.07(일),SSG7,6키움,고척,-
05.07(일),KT2,6한화,대전,-
05.09(화),키움4,5LG,잠실,-
05.09(화),두산5,2롯데,사직,-
05.09(화),NC16,4KT,수원,-
05.09(화),SSG0,3KIA,광주,-
05.09(화),삼성9,1한화,대전,-
05.10(수),키움11,1LG,잠실,-
05.10(수),두산0,3롯데,사직,-
05.10(수),NC8,7KT,수원,-
05.10(수),SSG5,3KIA,광주,-
05.10(수),삼성1,5한화,대전,-
05.11(목),키움0,1LG,잠실,-
05.11(목),두산6,7롯데,사직,-
05.11(목),NC4,1KT,수원,-
05.11(목),SSG5,3KIA,광주,-
05.11(목),삼성0,4한화,대전,-
05.12(금),KIA1,6두산,잠실,-
05.12(금),한화5,2SSG,문학,-
05.12(금),LG0,4삼성,대구,-
05.12(금),롯데1,2KT,수원,-
05.12(금),NC4,7키움,고척,-
05.13(토),KIA1,5두산,잠실,-
05.13(토),한화5,8SSG,문학,-
05.13(토),LG7,4삼성,대구,-
05.13(토),롯데5,0KT,수원,-
05.13(토),NC2,9키움,고척,-
05.14(일),KIA4,8두산,잠실,-
05.14(일),한화3,3SSG,문학,-
05.14(일),LG8,5삼성,대구,-
05.14(일),롯데8,3KT,수원,-
05.14(일),NC6,4키움,고척,-
05.16(화),KT12,7LG,잠실,-
05.16(화),KIA8,2삼성,대구,-
05.16(화),SSG3,5NC,창원,-
05.16(화),두산4,1키움,고척,-
05.16(화),롯데3,1한화,대전,-
05.17(수),KT3,7LG,잠실,-
05.17(수),KIA7,6삼성,대구,-
05.17(수),SSG4,0NC,창원,-
05.17(수),두산9,6키움,고척,-
05.17(수),롯데1,2한화,대전,-
05.18(목),KT5,9LG,잠실,-
05.18(목),KIA,삼성,대구,우천취소
05.18(목),SSG,NC,창원,우천취소
05.18(목),두산3,7키움,고척,-
05.18(목),롯데7,3한화,대전,-
05.19(금),한화1,3LG,잠실,-
05.19(금),SSG5,7롯데,사직,-
05.19(금),삼성5,4NC,창원,-
05.19(금),두산1,6KT,수원,-
05.19(금),키움1,10KIA,광주,-
05.20(토),한화1,1LG,잠실,-
05.20(토),SSG5,0롯데,사직,-
05.20(토),삼성3,14NC,창원,-
05.20(토),두산6,0KT,수원,-
05.20(토),키움2,3KIA,광주,-
05.21(일),한화1,4LG,잠실,-
05.21(일),SSG6,3롯데,사직,-
05.21(일),삼성2,1NC,창원,-
05.21(일),두산3,7KT,수원,-
05.21(일),키움1,0KIA,광주,-
05.23(화),삼성5,7두산,잠실,-
05.23(화),LG9,1SSG,문학,-
