연도,월,일,요일,홈팀,원정팀,경기장,날씨,평균기온,관중수
2023,10,17,화,KIA,NC,광주-기아 챔피언스 필드,맑음,21.7,"10,175"
2023,10,17,화,SSG,두산,인천SSG 랜더스필드,맑음,19.5,"21,007"
2023,10,16,월,두산,SSG,서울 잠실 야구장,맑음,19.6,"15,850"
2023,10,16,월,한화,롯데,대전 한화생명 이글스파크,맑음,20.7,"12,000"
2023,10,16,월,KIA,NC,광주-기아 챔피언스 필드,맑음,20.6,"5,251"
2023,10,15,일,LG,두산,서울 잠실 야구장,맑음,21.2,"23,750"
2023,10,15,일,NC,삼성,창원NC파크,맑음,24,"17,861"
2023,10,15,일,한화,롯데,대전 한화생명 이글스파크,맑음,21.1,"9,840"
2023,10,14,토,한화,롯데,대전 한화생명 이글스파크,구름많음,21.7,"9,153"
2023,10,14,토,삼성,SSG,대구 삼성 라이온즈 파크,비,24,"24,000"
2023,10,14,토,LG,두산,서울 잠실 야구장,비,18.2,"21,771"
2023,10,13,금,두산,KIA,서울 잠실 야구장,흐림,21.5,"19,188"
2023,10,13,금,SSG,키움히어로즈,인천SSG 랜더스필드,구름많음,21.5,"16,783"
2023,10,13,금,NC,LG,창원NC파크,흐림,23.5,"6,257"
2023,10,12,목,KIA,롯데,광주-기아 챔피언스 필드,구름조금,24.2,"4,767"
2023,10,12,목,두산,NC,서울 잠실 야구장,구름조금,24.1,"7,113"
2023,10,11,수,KIA,키움히어로즈,광주-기아 챔피언스 필드,맑음,24.3,"3,656"
2023,10,11,수,롯데,두산,부산 사직 야구장,맑음,24.5,"9,940"
2023,10,10,화,LG,롯데,서울 잠실 야구장,맑음,23.5,"18,521"
2023,10,10,화,NC,한화,창원NC파크,구름조금,23.9,"7,342"
2023,10,10,화,KT,두산,수원케이티위즈파크,맑음,23.3,"10,937"
2023,10,10,화,KIA,SSG,광주-기아 챔피언스 필드,구름조금,22.5,"8,333"
2023,10,10,화,키움히어로즈,삼성,서울고척스카이돔,맑음,23.5,"11,757"
2023,10,09,월,KIA,삼성,광주-기아 챔피언스 필드,흐림,23.2,"12,758"
2023,10,09,월,NC,한화,창원NC파크,흐림,23.8,"8,716"
2023,10,09,월,LG,롯데,서울 잠실 야구장,비,22.4,"22,807"
2023,10,08,일,두산,롯데,서울 잠실 야구장,흐림,19.5,"21,392"
2023,10,08,일,NC,SSG,창원NC파크,비,22.5,"10,073"
2023,10,08,일,KT,한화,수원케이티위즈파크,흐림,20.1,"15,197"
2023,10,08,일,KIA,삼성,광주-기아 챔피언스 필드,비,22.7,"16,005"
2023,10,07,토,키움히어로즈,LG,서울고척스카이돔,흐림,21.2,"13,301"
2023,10,07,토,KT,한화,수원케이티위즈파크,흐림,20.7,"15,210"
2023,10,07,토,NC,SSG,창원NC파크,흐림,21.7,"13,479"
2023,10,07,토,두산,롯데,서울 잠실 야구장,흐림,21.2,"19,916"
2023,10,06,금,LG,KIA,서울 잠실 야구장,구름많음,21.5,"23,750"
