,지점,지점명,일시,평균기온,최저기온,최고기온,일강수량,풍속,습도,강수여부
0,108,서울,2021-01-01,-4.2,-9.8,1.6,0.0,2.0,64.0,sunny
1,108,서울,2021-01-02,-5.0,-8.4,-1.4,0.0,2.6,38.5,sunny
2,108,서울,2021-01-03,-5.6,-9.1,-2.0,0.0,2.0,45.0,sunny
3,108,서울,2021-01-04,-3.5,-8.4,0.3,0.0,1.7,51.4,sunny
4,108,서울,2021-01-05,-5.5,-9.9,-2.1,0.0,2.9,52.8,sunny
5,108,서울,2021-01-06,-7.4,-12.0,-1.9,2.3,2.4,54.6,rainy
6,108,서울,2021-01-07,-14.5,-16.5,-8.4,0.0,4.1,49.9,sunny
7,108,서울,2021-01-08,-14.9,-18.6,-10.7,0.0,3.3,44.0,sunny
8,108,서울,2021-01-09,-12.2,-16.6,-7.5,0.0,2.6,46.3,sunny
9,108,서울,2021-01-10,-7.7,-12.8,-2.7,0.0,1.3,54.4,sunny
10,108,서울,2021-01-11,-6.7,-9.6,-4.0,0.0,1.9,62.1,sunny
11,108,서울,2021-01-12,-3.9,-9.3,-0.5,2.6,1.8,79.5,rainy
12,108,서울,2021-01-13,2.0,-3.0,8.3,0.0,2.4,80.3,sunny
13,108,서울,2021-01-14,1.7,-3.6,7.0,0.0,2.3,46.5,sunny
14,108,서울,2021-01-15,4.5,-0.7,9.9,0.2,3.0,67.4,rainy
15,108,서울,2021-01-16,-4.9,-8.7,-0.7,0.0,3.3,59.3,sunny
16,108,서울,2021-01-17,-5.5,-10.8,-1.3,0.0,2.3,58.5,sunny
17,108,서울,2021-01-18,-3.8,-9.1,0.2,0.3,3.2,64.3,rainy
18,108,서울,2021-01-19,-6.3,-11.6,-0.2,0.0,1.8,37.9,sunny
19,108,서울,2021-01-20,-0.1,-6.6,7.1,0.0,2.2,37.8,sunny
20,108,서울,2021-01-21,4.5,2.5,7.0,9.2,2.3,64.4,rainy
21,108,서울,2021-01-22,5.5,4.8,6.6,0.1,1.7,92.9,rainy
22,108,서울,2021-01-23,7.6,4.8,12.2,0.0,4.2,66.0,sunny
23,108,서울,2021-01-24,7.3,2.4,13.9,0.0,2.1,63.9,sunny
24,108,서울,2021-01-25,7.9,3.0,13.9,0.0,1.9,62.0,sunny
25,108,서울,2021-01-26,5.3,1.7,7.4,1.7,1.9,80.4,rainy
